name	lat	lon	fcode	population
Shearwater	52.14808	-128.09222	PPLL	100
Vesuvius	48.88137	-123.57207	PPL	100
Coal Harbour	50.59909	-127.58217	PPL	91
Coalmont	49.51667	-120.7	PPL	85
Topley	54.49979	-126.30337	PPL	80
Spences Bridge	50.4223	-121.34296	PPL	76
Devine	50.51643	-122.48598	PPLL	58
Telegraph Creek	57.911	-131.16	PPL	51
Pavilion	50.88333	-121.83333	PPL	48
Bralorne	50.76646	-122.8195	PPLL	36
D'Arcy	50.55	-122.48333	PPL	35
Skookumchuck	49.91664	-115.73539	PPLL	30
Spatsum	50.54976	-121.30258	PPLL	22
Spuzzum	49.6886	-121.41506	PPLL	22
Holberg	50.65473	-128.00993	PPL	15
Stuie	52.36667	-126.06667	PPL	3
Stuie	52.37127	-126.0658	PPL	3
Ninstints	52.09984	-131.21724	PPLL	1
